DATE,GDPCA
2003-01-01,13879.129
2004-01-01,14406.382
2005-01-01,14912.509
2006-01-01,15338.257
2007-01-01,15626.029
2008-01-01,15604.687
2009-01-01,15208.834
2010-01-01,15598.753
2011-01-01,15840.664
2012-01-01,16197.007
2013-01-01,16495.369
2014-01-01,16912.038
2015-01-01,17403.843
2016-01-01,17688.89
2017-01-01,18108.082
2018-01-01,18638.164
2019-01-01,19073.056
